len(arr),time,O(lgn),,O(n),,O(sqrt(n)),,O(n^2),,O(n*lgn),,O(n^3),,O(n^4),,O(2^n),
12,0.001,1410.135734,1988479.969,364.4649893,132833.9995,920.4648153,847253.6353,106.786271,11403.0941,227.4360546,51726.70406,38.49398023,1481.709527,14.61011126,213.4261319,0.0006280445996,0.0000001383508199
13,0.001,1455.558399,2118647.343,394.8370717,155895.5235,958.0501549,917858.1831,125.3255541,15706.24387,254.3256339,64681.01942,48.94170982,2395.193078,20.12342727,404.9120792,0.001256089199,0.00000006558167796
14,0.006,1497.613219,2242827.381,425.2091542,180797.7223,994.2156317,988452.7917,145.3479799,21124.29113,281.8025048,79409.27011,61.12701491,3735.778463,27.06703484,732.2996064,0.002512178398,0.00001216489952
15,0.004,1536.765319,2361635.35,455.5812366,207550.6185,1029.110949,1059061.112,166.8535484,27838.7718,309.8246434,95988.8311,75.18355514,5651.965511,35.66921695,1272.0077,0.005024356797,0.000001049306847
16,0.012,1573.389662,2475517.268,485.953319,236138.9655,1062.861218,1129648.46,189.8422595,36035.52742,338.3556428,114476.4206,91.24499018,8323.458498,46.17516647,2131.037938,0.01004871359,0.000003807518639
17,0.02,1607.792945,2584933.842,516.3254015,266571.2676,1095.572267,1200234.769,214.3141133,45921.96698,367.3636561,134941.3616,109.4449797,11973.82618,58.84698606,3460.614289,0.02009742719,0.0000000094920569
18,0.032,1640.229222,2690246.928,546.6974839,298843.1513,1127.334562,1270811.066,240.2691097,57713.86887,396.8205902,157441.1853,129.9171833,16870.16084,73.96368828,5465.894532,0.04019485438,0.00006715563823
19,0.128,1670.911309,2791516.865,577.0695663,332861.571,1158.22616,1341191.348,267.7072488,71598.65436,426.7014788,181964.9328,152.7952607,23307.29248,91.82119551,8407.642103,0.08038970875,0.002266739833
20,0.268,1700.019246,2889154.299,607.4416488,368659.8398,1188.314967,1411455.595,296.6285305,87829.56402,456.983987,208589.4928,178.2128714,31664.37728,112.73234,12648.22777,0.1607794175,0.01149625331
21,0.059,1727.706706,2984766.598,637.8137312,406731.0972,1217.660496,1482553.403,327.0329548,106911.9671,487.6480169,237743.0494,206.3036753,42536.86609,137.0268639,18760.19573,0.321558835,0.06893714184
22,1.324,1754.105902,3072244.396,668.1858137,444704.6785,1246.315252,1550003.217,358.9205219,127875.2725,518.6753865,267652.4571,237.2013319,55638.1157,165.051419,26806.66773,0.64311767,0.4636007473
23,2.854,1779.331404,3155871.968,698.5578961,484003.9111,1274.325833,1616640.623,392.2912316,151661.3573,550.0495688,299422.9905,271.0395009,71923.46287,197.1695672,37758.53967,1.28623534,2.457886029
24,4.94,1803.48315,3234757.462,728.9299785,524161.489,1301.733825,1681674.226,427.1450839,178257.1329,581.7554752,332716.0925,307.9518419,91816.17631,233.7617802,52359.40711,2.57247068,5.605195081
25,6.179,1826.64883,3314110.403,759.302061,567194.345,1328.576522,1748735.207,463.4820789,209126.1059,613.7792758,369178.0951,348.0720146,116890.8334,275.2254395,72385.98659,5.14494136,1.069277271
26,15.57,1848.905815,3361120.211,789.6741434,599237.2249,1354.887522,1793771.426,501.3022165,235935.7861,646.1082477,397578.4819,391.5336786,141348.6876,321.9748363,93883.9237,10.28988272,27.87963849
27,21.612,1870.32271,3417731.29,820.0462259,637497.213,1380.697223,1847112.643,540.6054968,269354.2497,678.7306478,431804.9173,438.4704936,173771.0037,374.4411719,124488.4245,20.57976544,1.065508186
28,70.795,1890.960634,3313002.936,850.4183083,607812.5028,1406.03323,1782861.131,581.3919197,260709.2144,711.6356033,410676.6788,489.0161193,174908.9046,433.0725574,131245.0286,41.15953088,878.2610299
29,121.372,1910.874269,3202318.371,880.7903907,576716.2922,1430.920706,1714917.814,623.6614853,252294.7271,744.8130185,388678.7035,543.3042152,178026.7942,498.3340136,142100.3597,82.31906176,1525.131985
30,243.318,1930.112734,2845276.475,911.1624732,446016.2404,1455.382661,1469100.743,667.4141936,179857.5814,778.2534944,286155.9832,601.4684411,128271.7385,570.7074713,107183.8659,164.6381235,6190.522963
31,396.228,1948.720315,2410232.387,941.5345556,297359.2396,1479.440203,1173348.676,712.6500445,100122.9102,811.9482592,172823.3339,663.6424567,71510.49164,650.6917711,64751.81079,329.276247,4482.537224
32,736.645,1966.737078,1513126.52,971.9066381,55348.03834,1503.112749,587472.8104,759.369038,516.3819035,845.8891069,11934.27489,729.9599215,44.6902751,738.8026635,4.655511589,658.5524941,6098.43948
33,1271.572,1984.19939,507837.7967,1002.27872,72518.87039,1526.418213,64946.59205,807.5711742,215296.7663,880.068345,153275.1119,800.5544952,221857.4899,835.5728087,190095.2948,1317.104988,2073.253012
,Variance,,2657970.73,,359066.0819,,1303595.703,,121049.6107,,220402.6994,,71543.13712,,49843.64648,,967.5804356