C,time
16947,0.188
33634,0.395
50362,1.663
66506,2.484
82525,3.011
98552,3.494
114567,3.380
139691,4.613
146604,4.815
162630,5.177
178638,5.531
194639,6.412
210640,7.426
226650,6.388
242655,7.848
258656,8.262
274660,8.791
290661,9.739
306662,8.607
322666,10.937
338669,9.9640
354670,10.376
370672,11.672
386684,11.821
402687,11.618
418692,14.248
434694,11.863
450697,14.450
466707,13.648
482709,13.649
498717,15.691
514816,13.801
530831,16.362
546846,15.337
562848,18.390
579021,16.885
596210,17.626
614792,16.645
641433,18.065