16947,0.517
33634,0.563
50362,0.482 
66506,0.454
82525,0.443 
98552,0.443 
114567,0.428
130601,0.438 
146604,0.392 
162630,0.411 
178638,0.438 
194639,0.430 
210640,0.404 
226650,0.413 
242655,0.378 
258656,0.348 
274660,0.356 
290661,0.359 
306662,0.351 
322666,0.352 
338669,0.358 
354670,0.344 
370672,0.350 
386684,0.342 
402687,0.361 
418693,0.343 
434694,0.351
450697,0.336 
466707,0.362 
482709,0.344 
498717,0.350
514816,0.345 
530831,0.341 
546846,0.351 
562848,0.347 
579021,0.346 
596210,0.367 
614793,0.367 
641433,0.353